roll,pitch,yaw,x,y,z
-1.56983,-0.00119372,-1.57099,1.01065,0.000438938,-0.045968
-1.57024,-3.78419e-05,-1.57236,1.00991,0.00395933,-0.0453561
-1.57118,-0.000388301,-1.57132,1.01091,0.000996253,-0.0427171
-1.57096,1.87594e-05,-1.57087,1.01124,4.94596e-05,-0.0432831
-1.56919,-0.00188136,-1.5708,1.01042,0.00018065,-0.0471741
-1.57413,-0.000757934,-1.57052,1.01086,-0.00099421,-0.0345916
-1.56912,0.000524618,-1.57008,1.0105,-0.00198515,-0.0481407
-1.56891,0.00253178,-1.57347,1.01091,0.00649517,-0.0482925
-1.57059,0.000117339,-1.5717,1.01053,0.00168155,-0.043978
-1.57152,-0.00272612,-1.57266,1.00987,0.00454799,-0.0404079
-1.57058,0.00313108,-1.57096,1.01124,2.79845e-05,-0.0437435
-1.57107,0.0019229,-1.57123,1.01135,0.000951216,-0.0424286
-1.56723,0.00552729,-1.57251,1.01041,0.00402068,-0.0526127
-1.56921,0.00309693,-1.56998,1.01049,-0.00407273,-0.0481974
-1.57082,0.000128673,-1.57136,1.00915,0.000671304,-0.0435352
-1.57229,-0.00282171,-1.57148,1.01081,0.00191772,-0.0387429
-1.5696,-0.000733386,-1.57118,1.01117,0.000737091,-0.0471019
-1.57085,-0.000844898,-1.57047,1.01117,-0.00197466,-0.0437735
-1.57004,0.00177365,-1.57066,1.01095,-0.00150631,-0.0457345
-1.56899,-0.0001244,-1.56998,1.01085,-0.00226591,-0.0487376
-1.56886,0.00357277,-1.57126,1.01063,-0.000245324,-0.0492115
-1.57107,0.000169057,-1.57084,1.01114,-0.0011853,-0.0427461
-1.57209,0.00189313,-1.57264,1.01319,0.00444018,-0.0397445
-1.56977,0.0032929,-1.57304,1.01086,0.00531521,-0.0464204
-1.57043,0.00177669,-1.57127,1.013,0.000362337,-0.0450373
-1.57157,-0.000362352,-1.57118,1.01077,-3.43405e-05,-0.0412175
-1.57123,-0.000351381,-1.57183,1.01062,0.00203429,-0.0422819
-1.57098,0.00021815,-1.57118,1.01121,0.00079252,-0.0432559
-1.5699,-0.000138927,-1.57147,1.01048,0.00101182,-0.045476
-1.57068,-0.000142042,-1.57174,1.01118,0.00256002,-0.0441162
-1.57217,-0.000374656,-1.5706,1.01096,-0.000381129,-0.0425422
-1.5714,-0.000617488,-1.57083,1.01141,-0.00104684,-0.0418837
-1.56866,0.00150189,-1.57053,1.01007,-0.00168141,-0.0517485
-1.57107,0.000237995,-1.57127,1.01139,0.000907314,-0.0432866
-1.56884,-0.000290398,-1.57048,1.01083,-0.00157029,-0.0480175
-1.56995,-0.0035857,-1.57071,1.01078,-0.000323498,-0.0457159
-1.57042,0.000693714,-1.57209,1.01053,0.0017353,-0.0460144
-1.57079,0.00267072,-1.57165,1.01152,0.00089225,-0.0433998
-1.57073,0.000111315,-1.56988,1.01054,-0.00278785,-0.0459019
-1.5709,0.000871128,-1.57115,1.01089,0.000548337,-0.0436769
-1.57272,-0.000575148,-1.57037,1.01036,-0.00105073,-0.040506
-1.57114,0.000431439,-1.57172,1.01024,0.00233339,-0.0449434
-1.57085,0.00214272,-1.57259,1.0115,0.00400503,-0.044657
-1.57255,-0.000121846,-1.56953,1.01056,-0.0037358,-0.0412094
-1.56983,0.00160692,-1.56975,1.01048,-0.00273841,-0.0474805
-1.57043,0.00056401,-1.57023,1.0123,-0.00212243,-0.0449683
-1.5709,-0.00104485,-1.57065,1.01092,0.00033347,-0.0462494
-1.57183,0.000330447,-1.56975,1.01091,-0.00313413,-0.0425702
-1.57508,-0.000894629,-1.57371,1.01015,0.00615903,-0.0340788
-1.57555,-0.000111179,-1.57185,1.00949,0.0020376,-0.0337787
